command,total,level1,level2,level3,level4,level5,smoke
2,1,0,0,0,0,0,1
callees,4,0,1,3,0,0,0
callers,14,2,5,6,1,0,0
children,1,0,1,0,0,0,0
find,6,0,1,0,0,0,5
references,6,1,1,0,1,0,3
search,25,2,8,14,1,0,0
symbols,2,0,2,0,0,0,0
