command,total,smoke,level1,level2,level3,level4,level5
2,1,1,0,0,0,0,0
callees,4,0,0,1,3,0,0
callers,14,0,2,5,6,1,0
children,1,0,0,1,0,0,0
find,6,5,0,1,0,0,0
references,6,3,1,1,0,1,0
search,25,0,2,8,14,1,0
symbols,2,0,0,2,0,0,0
