level,with_ast_average_tool_calls,without_ast_average_tool_calls,tool_calls_delta,with_ast_average_ast_tool_calls
overall,13.29,12.63,0.66,1.44
smoke,12.00,12.00,0.00,9.00
level1,6.00,6.25,-0.25,0.62
level2,7.38,7.62,-0.25,2.38
level3,8.62,8.50,0.12,2.88
level4,20.88,16.00,4.88,0.38
level5,23.75,24.88,-1.12,0.00
